deptHourStr,price
13,194.674211470
22,133.705786164
05,195.918043068
08,209.051215535
18,196.867610256
20,199.757311522
09,216.392712224
12,220.527628937
19,198.746704545
14,216.344031225
10,227.043196544
21,176.251302003
16,215.389525032
00,198.537172676
06,187.704625702
11,242.124816434
23,186.809756098
07,209.693896607
01,88.75
15,214.837088912
