deptMonth,price
10-October,215.398234443
09-September,226.023595396
12-December,171.298948582
08-August,227.684463277
06-June,249.855082364
01-January,143.680894517
03-March,233.228226441
07-July,230.331498127
11-November,241.538746753
05-May,216.352733474
02-February,151.246061432
04-April,207.390678374
